city,season,source,lead_days,n_samples,bias,mae,mse,error_variance
NYC,MAM,openmeteo,6,115,1.371304,6.287826,68.463217,66.582742
NYC,MAM,gfs,7,114,0.555263,6.588596,70.790439,70.482121
NYC,MAM,openmeteo,7,114,0.555263,6.588596,70.790439,70.482121
London,MAM,openmeteo,1,93,-0.168817,1.054839,1.950645,1.922146
London,JJA,ecmwf,1,92,0.458696,1.026087,1.745217,1.534816
London,JJA,ecmwf,2,92,0.28913,1.143478,2.074783,1.991186
London,JJA,ecmwf,3,92,0.141304,1.26087,2.739565,2.719598
London,JJA,ecmwf,4,92,0.171739,1.354348,3.238913,3.209419
London,JJA,ecmwf,5,92,0.141304,1.630435,4.945652,4.925685
London,JJA,ecmwf,6,92,0.709783,2.307609,8.774674,8.270883
London,JJA,ecmwf,7,92,0.298913,2.546739,10.947283,10.857934
London,JJA,gfs,1,92,-0.359783,1.122826,2.3625,2.233056
London,JJA,gfs,2,92,-0.496739,1.41413,3.6425,3.39575
London,JJA,gfs,3,92,-0.741304,1.573913,4.735435,4.185903
London,JJA,gfs,4,92,-1.05,1.795652,5.187609,4.085109
London,JJA,gfs,5,92,-0.876087,2.15,7.508913,6.741385
London,JJA,gfs,6,92,-0.958696,2.515217,10.630652,9.711555
London,JJA,gfs,7,92,-1.16413,2.78587,14.174022,12.818822
London,JJA,icon,1,92,0.278261,0.893478,1.474565,1.397136
London,JJA,icon,2,92,0.292391,1.159783,2.392283,2.30679
London,JJA,icon,3,92,0.266304,1.21413,2.557717,2.486799
London,JJA,icon,4,92,0.347826,1.513043,3.597826,3.476843
London,JJA,icon,5,92,0.168478,1.657609,4.988587,4.960202
London,JJA,icon,6,92,0.145652,2.356522,8.39587,8.374655
London,JJA,openmeteo,1,92,-0.106522,0.906522,1.47413,1.462784
London,JJA,openmeteo,2,92,0.470652,1.244565,2.545761,2.324247
London,JJA,openmeteo,3,92,0.520652,1.329348,2.975761,2.704682
London,JJA,openmeteo,4,92,0.546739,1.609783,4.106848,3.807924
London,JJA,openmeteo,5,92,0.343478,1.828261,6.00087,5.882892
London,JJA,openmeteo,6,92,0.336957,2.143478,7.863478,7.749939
London,JJA,openmeteo,7,92,0.298913,2.546739,10.947283,10.857934
London,JJA,ukmo,1,92,-0.106522,0.906522,1.47413,1.462784
London,JJA,ukmo,2,92,0.470652,1.244565,2.545761,2.324247
NYC,JJA,ecmwf,1,92,0.505435,2.46413,9.409457,9.153992
NYC,JJA,ecmwf,2,92,0.517391,2.869565,12.179348,11.911654
NYC,JJA,ecmwf,3,92,0.672826,3.390217,17.031848,16.579153
NYC,JJA,ecmwf,4,92,0.453261,3.507609,19.727283,19.521837
NYC,JJA,ecmwf,5,92,0.119565,3.665217,21.608478,21.594182
NYC,JJA,ecmwf,6,92,0.330435,4.504348,30.97413,30.864943
NYC,JJA,ecmwf,7,92,0.45,4.619565,36.236304,36.033804
NYC,JJA,gfs,1,92,-0.308696,1.85,5.979565,5.884272
NYC,JJA,gfs,2,92,-2.01413,2.766304,12.764891,8.70817
NYC,JJA,gfs,3,92,-2.238043,3.198913,16.081848,11.073009
NYC,JJA,gfs,4,92,-2.66413,3.831522,24.347717,17.250126
NYC,JJA,gfs,5,92,-2.555435,4.298913,32.085978,25.555731
NYC,JJA,gfs,6,92,-3.288043,4.998913,40.139457,29.328227
NYC,JJA,gfs,7,92,-3.742391,5.451087,47.989674,33.984181
NYC,JJA,icon,1,92,1.445652,2.03913,7.101739,5.011829
NYC,JJA,icon,2,92,1.426087,2.395652,10.241087,8.207363
NYC,JJA,icon,3,92,0.857609,2.58587,12.374022,11.638529
NYC,JJA,icon,4,92,1.393478,3.393478,18.198478,16.256697
NYC,JJA,icon,5,92,0.925,4.481522,30.98663,30.131005
NYC,JJA,icon,6,92,-0.059783,4.629348,35.05163,35.048056
NYC,JJA,openmeteo,1,92,-0.308696,1.85,5.979565,5.884272
NYC,JJA,openmeteo,2,92,-2.01413,2.766304,12.764891,8.70817
NYC,JJA,openmeteo,3,92,-2.238043,3.198913,16.081848,11.073009
NYC,JJA,openmeteo,4,92,-2.66413,3.831522,24.347717,17.250126
NYC,JJA,openmeteo,5,92,-2.555435,4.298913,32.085978,25.555731
NYC,JJA,openmeteo,6,92,-3.288043,4.998913,40.139457,29.328227
NYC,JJA,openmeteo,7,92,-3.742391,5.451087,47.989674,33.984181
NYC,JJA,ukmo,1,92,-0.129348,2.161957,9.448587,9.431856
NYC,JJA,ukmo,2,92,-0.056522,2.673913,12.687391,12.684197
London,SON,ecmwf,1,91,0.769231,0.984615,1.322637,0.730921
London,SON,ecmwf,2,91,0.802198,1.103297,1.681319,1.037797
London,SON,ecmwf,3,91,0.769231,1.140659,1.805055,1.213339
London,SON,ecmwf,4,91,0.848352,1.294505,2.407912,1.688212
London,SON,ecmwf,5,91,0.90989,1.483516,3.380659,2.552759
London,SON,ecmwf,6,91,1.186813,1.632967,4.458681,3.050156
London,SON,ecmwf,7,91,1.092308,1.63956,4.544615,3.351479
London,SON,gfs,1,91,0.046154,0.907692,1.444615,1.442485
London,SON,gfs,2,91,0.037363,1.16044,2.24,2.238604
London,SON,gfs,3,91,0.112088,1.151648,2.189451,2.176887
London,SON,gfs,4,91,0.093407,1.275824,2.496154,2.487429
London,SON,gfs,5,91,0.015385,1.547253,3.729011,3.728774
London,SON,gfs,6,91,0.035165,1.659341,4.416923,4.415687
